"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/ChartFactory.java","3","138","The class 'ChartFactory' has a total cyclomatic complexity of 137 (highest 19).","Design","CyclomaticComplexity"
"1","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/ChartRenderingInfo.java","3","65","The class 'ChartRenderingInfo' has a total cyclomatic complexity of 21 (highest 6).","Design","CyclomaticComplexity"
"1","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/ChartUtils.java","3","69","The class 'ChartUtils' has a total cyclomatic complexity of 35 (highest 4).","Design","CyclomaticComplexity"
"1","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java","3","47","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java","3","129","Possible God Class (WMC=162, ATFD=162, TCC=3.581%)","Design","GodClass"
"3","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/JFreeChart.java","3","129","The class 'JFreeChart' has a total cyclomatic complexity of 162 (highest 20).","Design","CyclomaticComplexity"
"1","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/StandardChartTheme.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/StandardChartTheme.java","3","108","Possible God Class (WMC=201, ATFD=192, TCC=0.000%)","Design","GodClass"
"3","org.jfree.chart","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/StandardChartTheme.java","3","108","The class 'StandardChartTheme' has a total cyclomatic complexity of 201 (highest 33).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryLineAnnotation.java","3","69","The class 'CategoryLineAnnotation' has a total cyclomatic complexity of 29 (highest 9).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/CategoryPointerAnnotation.java","3","80","The class 'CategoryPointerAnnotation' has a total cyclomatic complexity of 35 (highest 12).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/TextAnnotation.java","3","60","The class 'TextAnnotation' has a total cyclomatic complexity of 25 (highest 9).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYBoxAnnotation.java","3","66","The class 'XYBoxAnnotation' has a total cyclomatic complexity of 31 (highest 11).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYDataImageAnnotation.java","3","64","The class 'XYDataImageAnnotation' has a total cyclomatic complexity of 29 (highest 10).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYDrawableAnnotation.java","3","58","The class 'XYDrawableAnnotation' has a total cyclomatic complexity of 22 (highest 10).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java","3","67","The class 'XYImageAnnotation' has a total cyclomatic complexity of 23 (highest 8).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYLineAnnotation.java","3","69","The class 'XYLineAnnotation' has a total cyclomatic complexity of 28 (highest 10).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYPointerAnnotation.java","3","79","The class 'XYPointerAnnotation' has a total cyclomatic complexity of 38 (highest 11).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYPolygonAnnotation.java","3","69","The class 'XYPolygonAnnotation' has a total cyclomatic complexity of 31 (highest 9).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYShapeAnnotation.java","3","70","The class 'XYShapeAnnotation' has a total cyclomatic complexity of 22 (highest 8).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java","3","71","Possible God Class (WMC=50, ATFD=23, TCC=1.839%)","Design","GodClass"
"3","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYTextAnnotation.java","3","71","The class 'XYTextAnnotation' has a total cyclomatic complexity of 50 (highest 15).","Design","CyclomaticComplexity"
"1","org.jfree.chart.annotations","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/annotations/XYTitleAnnotation.java","3","70","The class 'XYTitleAnnotation' has a total cyclomatic complexity of 37 (highest 14).","Design","CyclomaticComplexity"
"1","org.jfree.chart.api","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/api/RectangleAnchor.java","3","39","The enum 'RectangleAnchor' has a total cyclomatic complexity of 20 (highest 10).","Design","CyclomaticComplexity"
"1","org.jfree.chart.api","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/api/RectangleInsets.java","3","39","Possible God Class (WMC=57, ATFD=52, TCC=0.000%)","Design","GodClass"
"2","org.jfree.chart.api","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/api/RectangleInsets.java","3","39","The class 'RectangleInsets' has a total cyclomatic complexity of 57 (highest 8).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/Axis.java","3","40","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/Axis.java","3","90","Possible God Class (WMC=160, ATFD=250, TCC=1.180%)","Design","GodClass"
"3","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/Axis.java","3","90","The class 'Axis' has a total cyclomatic complexity of 160 (highest 27).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/AxisSpace.java","3","48","The class 'AxisSpace' has a total cyclomatic complexity of 45 (highest 10).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CategoryAxis.java","3","38","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CategoryAxis.java","3","79","Possible God Class (WMC=146, ATFD=161, TCC=1.176%)","Design","GodClass"
"3","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CategoryAxis.java","3","79","The class 'CategoryAxis' has a total cyclomatic complexity of 146 (highest 14).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CategoryLabelPosition.java","3","50","The class 'CategoryLabelPosition' has a total cyclomatic complexity of 20 (highest 9).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CategoryLabelPositions.java","3","51","The class 'CategoryLabelPositions' has a total cyclomatic complexity of 21 (highest 7).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java","3","113","Possible God Class (WMC=137, ATFD=129, TCC=0.000%)","Design","GodClass"
"3","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java","3","113","The class 'CyclicNumberAxis' has a total cyclomatic complexity of 137 (highest 33).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/DateAxis.java","3","45","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/DateAxis.java","3","91","Possible God Class (WMC=161, ATFD=391, TCC=1.507%)","Design","GodClass"
"3","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/DateAxis.java","3","91","The class 'DateAxis' has a total cyclomatic complexity of 161 (highest 26).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/DateTickUnit.java","3","52","The class 'DateTickUnit' has a total cyclomatic complexity of 35 (highest 9).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java","3","62","The class 'ExtendedCategoryAxis' has a total cyclomatic complexity of 22 (highest 7).","Design","CyclomaticComplexity"
"1","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/LogAxis.java","3","37","High amount of different objects as members denotes a high coupling","Design","CouplingBetweenObjects"
"2","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/LogAxis.java","3","68","Possible God Class (WMC=101, ATFD=86, TCC=0.711%)","Design","GodClass"
"3","org.jfree.chart.axis","/home/loic/Téléchargements/jfreechart/src/main/java/org/jfree/chart/axis/LogAxis.java","3","68","The class 'LogAxis' has a total cyclomatic complexity of 101 (highest 8).","Design","CyclomaticComplexity"
